Hiatus_Size,AVW_Length,Apical_Shift,CL_Strain,US_Strain,CL_Material,US_Material,Levator_Plate_PC1,Levator_Plate_PC2
37.90878603,0.894594473,-0.622892488,0.020935428,0.030170005,81.34123924,121.6884538,-5.547001279,2.629338348
36.74143747,1.222823336,-1.032532461,-0.003185714,0.01612464,303.7653204,68.10536765,2.948419414,5.648679868
44.70750205,1.000894802,-2.197395121,-0.039294379,0.003633663,237.3182476,93.88396942,15.13441339,19.77610634
31.44617844,1.209452668,3.558305564,-0.025852885,-0.009911294,218.2300284,187.7185239,0.36832768,3.14285428
31.25831422,0.965356979,2.503838101,-0.039075374,-0.021884666,241.381519,144.8260058,8.618295569,0.43821235
36.891924,0.58738953,-1.173100899,0.052675456,0.010063857,186.660404,292.1858079,2.760840116,13.61743342
30.63861597,1.249523859,4.930491806,0.002368246,0.01313819,144.3721476,129.7279248,12.25596414,9.971611292
36.55359531,1.150430821,1.422137898,-0.024346242,-0.012158086,152.5497172,213.7147931,6.194467754,0.72508863
39.88985153,1.349052022,-1.814698252,0.012408245,-0.017456899,170.9454092,220.0061741,4.401206906,5.275584153
31.81219381,0.959540698,-2.404810616,0.020783607,-0.0123618,174.2174034,249.2921919,-5.982465366,-2.663539537
37.44261598,0.86357083,-1.683709257,0.007638243,0.002580255,146.3307261,193.2206741,-4.484273184,-6.696499557
28.67516116,1.182755434,0.633614622,0.021148481,0.00473894,210.479681,156.7860676,-12.36007225,-21.52673338
34.47028247,0.646814815,-7.192046779,-0.021760467,-0.008434957,68.05968769,211.2768595,-12.80310114,-9.427459625
37.47977707,0.881983483,-1.510564496,0.034783782,0.021678735,305.6242719,367.6456771,7.448161562,-8.115371271
25.11265273,1.121910835,1.828355506,0.05975044,0.034345729,180.4066579,232.7651188,-20.15938689,-8.756957224
46.94547118,1.088342149,-2.994404936,-0.000475124,-0.014803114,418.2749931,294.7261162,1.488190663,8.093981731
33.3470541,1.189613332,-2.06368135,0.023802411,0.009208187,306.364711,146.6198714,-6.796134841,-3.960484399
33.66731659,0.962212645,-3.158598595,-0.013138591,0.011731745,83.35426785,82.59998258,-14.24702278,-18.6525952
33.18485378,0.933881401,0.287259001,0.047824013,0.022301895,194.0874007,299.4352879,-2.237569028,-9.386572327
29.56328913,1.023082625,3.582017231,0.063861534,0.041900891,207.5249857,136.4694539,5.785752961,-3.130000393
28.78783491,0.819719913,1.842445841,-0.018004476,-0.000252782,354.5421498,224.69812,6.569060687,-7.85588475
40.68449864,1.082811386,1.310597447,-0.001447111,0.017202311,111.992588,222.442206,11.18634182,2.91414261
46.28446636,0.914547318,-4.8662008,0.008531025,-0.005871612,325.5250613,250.814416,13.17375422,6.440635138
48.40269589,0.945745261,-1.543590596,-0.028308569,-0.010506493,208.3959016,144.3446725,25.63469432,15.95037677
28.59011404,0.673833709,3.789370432,0.01521605,0.022533211,196.3787314,34.46163675,-5.023473744,6.095923914
41.3942185,0.79451259,-0.279354783,0.012827697,0.006821264,306.7005773,219.0843355,9.556178154,10.00152619
24.74284389,1.153893575,-0.74968179,-0.005362812,0.022782556,317.6320837,102.8755684,-16.06084331,-14.13439031
44.98616443,1.281707266,-6.78401216,0.005573728,0.014697846,197.0129977,127.0356878,-0.123388641,-7.123880649
46.1512637,1.258223274,-2.972587302,-0.01550383,-0.007523673,43.06220212,332.9800942,23.15334202,10.94675868
35.69793435,0.87454735,1.965184089,-0.009714839,-0.005553801,241.5256229,229.4865864,8.609114129,15.46809475
30.3973131,1.195516422,2.549660654,0.054534468,0.027172383,410.6622611,88.07470064,-2.470034255,0.240601465
26.1563838,0.686585095,0.12179792,-0.003617998,0.022836302,368.0880568,286.1867721,-13.35626911,-1.132106791
38.60434407,1.276353281,3.646564095,0.025181736,0.00266572,334.6884857,139.9176906,16.6643249,-4.463170765
25.91331086,0.704332447,-1.065107036,0.000473701,-0.002332048,251.6308146,234.7214353,-16.89652737,-16.69694921
33.58064421,1.142881018,0.439588291,0.049657979,0.023704163,160.7257594,422.7904831,-11.95166646,-7.833087548
22.02528876,0.982730326,4.785389275,0.007487836,-5.07E-05,74.68635819,-127.315077,-16.41671142,-1.35297028
23.94337198,0.895132587,-0.420377435,0.034425428,0.009722578,164.7065202,318.6550334,-10.24598461,-16.16347101
31.56569011,1.354751281,-1.792218791,-0.015469305,0.001369888,217.4095578,69.90338647,-5.641071896,-6.184808588
34.27527485,1.101963947,2.694848922,0.034353825,-0.007404927,81.9017211,156.3235904,-1.590899326,3.272950167
