File Name,Part3_E,Pressure,Inner_Radius,Outer_Radius,inner_y1,inner_y2,inner_y3,outer_y1,outer_y2,outer_y3
Part1_E(1.85)Part3_E(1.47)Part7_E(2.39)Part10_E(2.36)Part11_E(1.48),1.47,0.015,1.25,1.75,1.2602052145372271,1.260690834798294,1.2614154117096594,-2.268228725,-2.268527449,-2.269375001
Part1_E(1.04)Part3_E(1.34)Part7_E(2.06)Part10_E(1.79)Part11_E(2.22),1.34,0.015,1.25,1.75,1.256763774329703,1.2575396036973998,1.2581972678330686,-2.263755705,-2.264813707,-2.264984075
Part1_E(1.07)Part3_E(2.03)Part7_E(1.81)Part10_E(1.46)Part11_E(2.28),2.03,0.015,1.25,1.75,1.253008755920395,1.253515137585579,1.253956415540195,-2.262308642,-2.262996664,-2.263079548
Part1_E(1.05)Part3_E(1.06)Part7_E(1.89)Part10_E(1.29)Part11_E(2.22),1.06,0.015,1.25,1.75,1.2584234022085476,1.2593834031833178,1.2601830734634554,-2.263733716,-2.26504761,-2.265280969
Part1_E(1.38)Part3_E(1.4)Part7_E(1.38)Part10_E(1.18)Part11_E(2.09),1.4,0.015,1.25,1.75,1.2567624511067716,1.2574151332497376,1.2581060034231013,-2.264087687,-2.264860096,-2.265307334
Part1_E(1.47)Part3_E(1.06)Part7_E(1.14)Part10_E(2.2)Part11_E(1.47),1.06,0.015,1.25,1.75,1.2649930836150602,1.2656873507601862,1.2666839799228025,-2.270738863,-2.271416413,-2.272388376
Part1_E(2.05)Part3_E(2.03)Part7_E(2.49)Part10_E(1.51)Part11_E(2.09),2.03,0.015,1.25,1.75,1.2528449713793646,1.253231494,1.2537562742737869,-2.262226592,-2.262535423,-2.263060886
Part1_E(2.24)Part3_E(1.54)Part7_E(2.37)Part10_E(1.89)Part11_E(2.03),1.54,0.015,1.25,1.75,1.2553313966945874,1.255787786378821,1.2564970601639502,-2.263246996,-2.263612599,-2.264337717
Part1_E(1.84)Part3_E(1.52)Part7_E(1.25)Part10_E(1.29)Part11_E(1.37),1.52,0.015,1.25,1.75,1.2608055647267895,1.261267448461438,1.2619656819345495,-2.269093907,-2.269499471,-2.270098566
Part1_E(1.64)Part3_E(1.44)Part7_E(1.89)Part10_E(2.01)Part11_E(2.16),1.44,0.015,1.25,1.75,1.2557735809152308,1.256364408247877,1.257056275690332,-2.263227133,-2.263870865,-2.264418594
Part1_E(2.49)Part3_E(1.58)Part7_E(1.09)Part10_E(1.31)Part11_E(2.41),1.58,0.015,1.25,1.75,1.2530153552629668,1.253464928533774,1.254141941455862,-2.260884067,-2.261255153,-2.261948083
Part1_E(1.4)Part3_E(1.25)Part7_E(1.52)Part10_E(1.69)Part11_E(2.08),1.25,0.015,1.25,1.75,1.2577263839764428,1.2584411893841172,1.2592089529390855,-2.264300871,-2.265148465,-2.265669216
Part1_E(1.22)Part3_E(1.43)Part7_E(2.11)Part10_E(1.71)Part11_E(2.29),1.43,0.015,1.25,1.75,1.2556082591704056,1.256299599707569,1.2569347059164904,-2.262969932,-2.263874427,-2.26412087
Part1_E(2.18)Part3_E(1.84)Part7_E(1.84)Part10_E(2.48)Part11_E(1.43),1.84,0.015,1.25,1.75,1.257435640641775,1.257768703669114,1.2584014096952647,-2.266700949,-2.267025516,-2.26738449
Part1_E(2.48)Part3_E(1.16)Part10_E(1.03)Part11_E(1.75),1.16,0.015,1.25,1.75,1.2595999920090195,1.2600866648016948,1.2610520924027844,-2.265746677,-2.266232061,-2.267057241
Part1_E(2.16)Part3_E(1.24)Part7_E(1.15)Part10_E(2.33)Part11_E(1.87),1.24,0.015,1.25,1.75,1.258357608853246,1.2588842743876636,1.2597610331527382,-2.264956175,-2.265395059,-2.266301615
Part1_E(2.3)Part3_E(1.74)Part7_E(1.72)Part10_E(2.28)Part11_E(1.84),1.74,0.015,1.25,1.75,1.2552547479769725,1.2556648249798277,1.2562846031798989,-2.263983562,-2.264260735,-2.264912876
Part1_E(1.5)Part3_E(2.1)Part7_E(1.84)Part10_E(1.8)Part11_E(1.92),2.1,0.015,1.25,1.75,1.2538638106143638,1.2542819141931163,1.2547605503903627,-2.263504375,-2.263923099,-2.264306791
Part1_E(1.56)Part3_E(1.2)Part7_E(1.33)Part11_E(1.8),1.2,0.015,1.25,1.75,1.2600337122286644,1.2606958892444269,1.2615512994855718,-2.266478411,-2.267149663,-2.267953215
Part1_E(1.52)Part3_E(2.5)Part7_E(1.62)Part10_E(1.31)Part11_E(2.45),2.5,0.015,1.25,1.75,1.250311604879422,1.2506830392733257,1.251060282377495,-2.260463365,-2.260901553,-2.261087337
Part1_E(1.95)Part3_E(1.3)Part7_E(1.67)Part10_E(2.01)Part11_E(2.19),1.3,0.015,1.25,1.75,1.2560160563197846,1.2566009345152287,1.2573852266645815,-2.26277201,-2.263348049,-2.264101226
Part1_E(1.54)Part3_E(1.24)Part7_E(1.26)Part10_E(1.45)Part11_E(2.06),1.24,0.015,1.25,1.75,1.2577333016212164,1.2584155110503352,1.259207893693368,-2.26425428,-2.265019323,-2.265643941
Part1_E(2.24)Part3_E(2.46)Part7_E(1.85)Part10_E(1.57)Part11_E(1.83),2.46,0.015,1.25,1.75,1.252036444552257,1.2523320215816591,1.2527712793835843,-2.262415409,-2.262605504,-2.263044868
Part1_E(1.69)Part3_E(2.17)Part7_E(1.2)Part10_E(2.49)Part11_E(1.98),2.17,0.015,1.25,1.75,1.2530740500902655,1.2534634306655223,1.2539352167585651,-2.262831037,-2.263187888,-2.263613076
Part1_E(2.4)Part3_E(1.29)Part7_E(2.3)Part10_E(1.44)Part11_E(1.28),1.29,0.015,1.25,1.75,1.2632237635884993,1.2635706241408466,1.2645152083713196,-2.270459785,-2.270868178,-2.27135468
Part1_E(1.89)Part3_E(2.04)Part7_E(1.8)Part10_E(1.46)Part11_E(1.02),2.04,0.015,1.25,1.75,1.2596897188842069,1.2599712710480266,1.2605118022778965,-2.269813529,-2.270080886,-2.270329491
Part1_E(2.35)Part7_E(2.36)Part10_E(2.31)Part11_E(1.78),1.0,0.015,1.25,1.75,1.2607715152841126,1.2613612769909883,1.2623958878026451,-2.265778126,-2.266166915,-2.267427563
Part1_E(1.63)Part3_E(1.36)Part7_E(1.24)Part10_E(1.01)Part11_E(1.11),1.36,0.015,1.25,1.75,1.2657811853862486,1.2662285477343271,1.267067163,-2.273594472,-2.274060832,-2.274547713
Part1_E(1.78)Part3_E(2.5)Part7_E(1.31)Part10_E(2.44)Part11_E(1.07),2.5,0.015,1.25,1.75,1.2563686364304327,1.2566204817889022,1.2570323323190489,-2.267315319,-2.267542794,-2.267741649
Part1_E(2.3)Part3_E(2.02)Part7_E(1.66)Part10_E(1.8)Part11_E(1.65),2.02,0.015,1.25,1.75,1.2548304141959703,1.255167762225704,1.2557216117914405,-2.264420924,-2.264702285,-2.265152629
Part1_E(1.28)Part3_E(1.06)Part7_E(1.3)Part10_E(2.18)Part11_E(1.87),1.06,0.015,1.25,1.75,1.2609956496518138,1.2618286311394398,1.2627346928042642,-2.266481919,-2.267470594,-2.268124826
Part1_E(1.77)Part3_E(1.89)Part7_E(1.32)Part10_E(1.7)Part11_E(2.08),1.89,0.015,1.25,1.75,1.2537768921455918,1.2542187307463333,1.254765925538196,-2.26281124,-2.263228832,-2.263722601
Part1_E(1.06)Part3_E(1.67)Part7_E(2.11)Part10_E(1.81)Part11_E(1.11),1.67,0.015,1.25,1.75,1.263565748357438,1.264068037648763,1.2646720468692052,-2.272667321,-2.273117375,-2.273665721
Part1_E(1.79)Part3_E(1.84)Part7_E(2.46)Part10_E(1.84)Part11_E(2.07),1.84,0.015,1.25,1.75,1.2540385924802486,1.2544882176509549,1.2550526315155406,-2.262939755,-2.26336032,-2.263879935
Part1_E(2.44)Part3_E(1.53)Part7_E(1.1)Part10_E(1.44)Part11_E(1.03),1.53,0.015,1.25,1.75,1.263517112,1.2637689598294328,1.2645505639609913,-2.272083522,-2.27237751,-2.272700909
Part1_E(1.63)Part3_E(1.67)Part7_E(2.37)Part10_E(1.71)Part11_E(1.99),1.67,0.015,1.25,1.75,1.2555038620509456,1.2560105913263808,1.256625577323247,-2.263929933,-2.264436963,-2.264969439
Part1_E(1.2)Part3_E(2.11)Part7_E(1.35)Part10_E(1.82)Part11_E(1.79),2.11,0.015,1.25,1.75,1.2548346839200668,1.2552764084939,1.2557349502584432,-2.264577027,-2.265069199,-2.265359643
Part1_E(1.11)Part3_E(2.09)Part7_E(1.3)Part10_E(1.17)Part11_E(2.26),2.09,0.015,1.25,1.75,1.252806144458794,1.253290991006355,1.2537239170399224,-2.262253389,-2.262899729,-2.263003547
Part1_E(2.04)Part3_E(1.09)Part7_E(1.36)Part10_E(1.78)Part11_E(1.55),1.09,0.015,1.25,1.75,1.26272983672257,1.2633080184188286,1.2642733368387908,-2.268579347,-2.26913984,-2.270014173
Part1_E(1.67)Part3_E(1.3)Part7_E(1.99)Part10_E(1.24)Part11_E(2.26),1.3,0.015,1.25,1.75,1.255913310047246,1.2565602380376164,1.2573074984951018,-2.262645722,-2.263375846,-2.26394826
Part1_E(1.12)Part3_E(2.39)Part7_E(1.8)Part10_E(1.54)Part11_E(1.61),2.39,0.015,1.25,1.75,1.2545264329970176,1.2549081685325398,1.255301700593286,-2.264926169,-2.265333661,-2.265595105
