File Name,Part1_E,Part3_E,Part11_E,Pressure,Inner_Radius,Outer_Radius,inner_y1,inner_y2,inner_y3,outer_y1,outer_y2,outer_y3,innerShape_x1,innerShape_x2,innerShape_x3
Part1_E(1.15)Part3_E(1.32)Part11_E(1.72),1.15,1.32,1.72,0.015,1.25,1.75,1.2604664456643102,1.2611726142453257,1.261921724811281,-2.267650795676968,-2.268471778390355,-2.268987580684696,0.1794848175443944,-0.7261896013987275,-1.2653724641910078
Part1_E(2.49)Part3_E(1.47)Part11_E(1.32),2.49,1.47,1.32,0.015,1.25,1.75,1.2608980735733692,1.261219941619364,1.2620514506979992,-2.268954547406898,-2.269311691279144,-2.269733374832859,0.1781908224562925,-0.7221979602658343,-1.2579531306007257
Part1_E(1.55)Part3_E(1.28)Part11_E(1.2),1.55,1.28,1.2,0.015,1.25,1.75,1.2657000210273956,1.266251386337033,1.2670715678948057,-2.2730580901662107,-2.273566359871738,-2.2742766148758777,0.1789213777393307,-0.7251994084251658,-1.2632980647812733
Part1_E(1.64)Part3_E(1.64)Part11_E(2.26),1.64,1.64,2.26,0.015,1.25,1.75,1.254217352950892,1.254751809078799,1.255356055213419,-2.2623961199541083,-2.2629867614773125,-2.263428259418798,-0.1769559777575535,0.7252662233245744,1.2639240481353111
Part1_E(2.16)Part3_E(2.4)Part11_E(1.88),2.16,2.4,1.88,0.015,1.25,1.75,1.2521302176782745,1.2524412815974522,1.2528888745382334,-2.262379473901487,-2.262592931698548,-2.263039309340728,-0.1766434656016587,0.7209216864123539,1.2556979128734198
Part1_E(1.64)Part3_E(2.36)Part11_E(1.32),1.64,2.36,1.32,0.015,1.25,1.75,1.255684065218191,1.2559967802512906,1.2564289093870291,-2.2662317888300403,-2.266404841452069,-2.266889007439427,-0.1766771753498402,0.721738020695102,1.256900706483087
Part1_E(1.98)Part3_E(2.06)Part11_E(2.03),1.98,2.06,2.03,0.015,1.25,1.75,1.2530433826350122,1.2534273997332412,1.2539426640244518,-2.262528301216941,-2.262835316264517,-2.2633502235427576,-0.176754498079066,0.7224116097581728,1.258523358687083
Part1_E(1.17)Part3_E(2.18)Part11_E(1.2),1.17,2.18,1.2,0.015,1.25,1.75,1.2582961657927427,1.258673594672833,1.2591176937590165,-2.2686080718012085,-2.2689069637630115,-2.269338750105512,-0.1767967075716782,0.7234732886651435,1.2598782544179117
Part1_E(1.96)Part3_E(2.45)Part11_E(1.49),1.96,2.45,1.49,0.015,1.25,1.75,1.2538971125456786,1.254201160714845,1.254614634477585,-2.264480573963056,-2.264616105762645,-2.265116790965456,-0.17663294092512,0.72096771119568,1.2556165249850284
Part1_E(1.17)Part3_E(1.88)Part11_E(2.14),1.17,1.88,2.14,0.015,1.25,1.75,1.2542001577038724,1.2547272754140115,1.2552244966853614,-2.2631878236463567,-2.2638574324680745,-2.264055329060135,-0.1769573893647618,0.7252664536408903,1.2635891477994212
Part1_E(1.23)Part3_E(1.86)Part11_E(1.28),1.23,1.86,1.28,0.015,1.25,1.75,1.259840451046235,1.2602864199665744,1.2608324547218022,-2.2693392312128093,-2.269733597728618,-2.2702309695900564,-0.1769023833859447,0.7249652835288295,1.2627028561808569
Part1_E(1.43)Part3_E(2.44)Part11_E(1.35),1.43,2.44,1.35,0.015,1.25,1.75,1.255345160693015,1.2556685796137663,1.256071618726568,-2.266005332631656,-2.266245331952057,-2.266637795050653,-0.1766819986041074,0.7218570723350279,1.257068069911201
Part1_E(2.17)Part3_E(1.14)Part11_E(2.08),2.17,1.14,2.08,0.015,1.25,1.75,1.2574550003834946,1.2580411402110965,1.258956207550653,-2.263308265211212,-2.26388787878649,-2.264766894657275,0.178736766936896,-0.7247658737900557,-1.2628684410595554
